corpus,project,symbol,kind,predicted_color,predicted_reason,actual_status,root_blocker
endtoend,lostcopy-min.c,printf,function,green,admissible,declared,
endtoend,lostcopy-nested-branch.c,branchy,function,green,admissible,ported,
endtoend,lostcopy-nested-branch.c,c_main,function,green,admissible,ported,
endtoend,lostcopy-nested-branch.c,nested,function,green,admissible,ported,
endtoend,lostcopy-nested-branch.c,printf,function,green,admissible,declared,
endtoend,lostcopy-rotations.c,c_main,function,green,admissible,ported,
endtoend,lostcopy-rotations.c,fib3,function,green,admissible,ported,
endtoend,lostcopy-rotations.c,mixed,function,green,admissible,ported,
endtoend,lostcopy-rotations.c,partial,function,green,admissible,ported,
endtoend,lostcopy-rotations.c,printf,function,green,admissible,declared,
endtoend,lostcopy-rotations.c,swap2,function,green,admissible,ported,
endtoend,malloc-stack.c,c_main,function,green,admissible,ported,
endtoend,malloc-stack.c,printf,function,green,admissible,declared,
endtoend,math-sin.c,c_main,function,green,admissible,ported,
endtoend,math-sin.c,printf,function,green,admissible,declared,
endtoend,missing-return-expect-carrier.c,brk_end,global,green,admissible,ported,
endtoend,missing-return-expect-carrier.c,c_main,function,green,admissible,ported,
endtoend,missing-return-expect-carrier.c,printf,function,green,admissible,declared,
endtoend,missing-return-expect-carrier.c,tu0_classify,function,green,admissible,ported,
endtoend,missing-return-expect-carrier.c,tu0_extend,function,green,admissible,ported,
endtoend,missing-return-expect-carrier.c,tu0_is_null,function,green,admissible,ported,
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,S,record,green,admissible,ported,
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,c_main,function,green,admissible,ported,
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,go,function,green,admissible,ported,
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,gs,global,green,admissible,ported,
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,p,global,green,admissible,ported,
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,printf,function,green,admissible,declared,
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,swap,function,green,admissible,ported,
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,unrelated_g1,function,green,admissible,ported,
endtoend,multi-tu-gate-g3-owner-fallback.c,c_main,function,green,admissible,ported,
endtoend,multi-tu-gate-g3-owner-fallback.c,fill,function,green,admissible,missing,
endtoend,multi-tu-gate-g3-owner-fallback.c,printf,function,green,admissible,declared,
endtoend,multi-tu-gate-g3-owner-fallback.c,sum,function,green,admissible,missing,
endtoend,multi-tu-gate-g3-owner-fallback.c,total,function,green,admissible,missing,
endtoend,multi-tu-gate-g3-owner-fallback.c,unrelated_g3,function,green,admissible,ported,
endtoend,multi-tu-gate-g5-region-api.c,c_main,function,green,admissible,ported,
endtoend,multi-tu-gate-g5-region-api.c,printf,function,green,admissible,declared,
endtoend,multi-tu-gate-g5-region-api.c,region,global,green,admissible,ported,
endtoend,multi-tu-gate-g5-region-api.c,region_fill,function,green,admissible,ported,
endtoend,multi-tu-gate-g5-region-api.c,reset_region,function,green,admissible,ported,
endtoend,multi-tu-gate-g6-cellslice-fn-external.c,c_main,function,green,admissible,ported,
endtoend,multi-tu-gate-g6-cellslice-fn-external.c,printf,function,green,admissible,declared,
endtoend,multi-tu-gate-g6-cellslice-fn-external.c,sum4,function,green,admissible,ported,
endtoend,multi-tu-gate-g6-cellslice-fn-external.c,tu0_A,global,green,admissible,ported,
endtoend,multi-tu-gate-g6-cellslice-fn-external.c,tu1_B,global,green,admissible,ported,
endtoend,multi-tu-gate-g6-cellslice-fn-external.c,use_sum4,function,green,admissible,ported,
endtoend,multi-tu-gate-g8-ptr-global-external.c,arr,global,green,admissible,ported,
